249.95,249.95
265.9141084,265.9141084
287.4816371,287.4816371
310.714301,310.714301
335.6398983,335.6398983
362.676659,362.676659
391.7749737,391.7749737
423.0592501,423.0592501
456.6806766,456.6806766
492.7933752,492.7933752
531.5129644,531.5129644
572.8245441,572.8245441
616.9141739,616.9141739
663.9526112,663.9526112
713.974939,713.974939
1371.975781,1371.975781
1272.321444,1272.321444
1171.561093,1171.561093
1069.47683,1069.47683
965.7585991,965.7585991
579.1768196,1940.264595
249.95,1225.666014
,249.95
